Stage,Subtype,OncotypeDx,gBRCA,PDL1,RecommendedRegimen,TreatmentLine,NCCN_Category,Trial,급여여부,권장용량_표시,1회_용량(160cm/60kg)_mg,단가_표시
Stage II,HR-/HER2+,-,No,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 1,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage II,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,Recurrent,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2A,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage IV,HR-/HER2+,-,No,Negative,"Tucatinib, Trastuzumab, Capecitabine",Adjuvant,Category 1,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage III,HR+/HER2+,-,No,Negative,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 2B,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage II,HR-/HER2+,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage I,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 1,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage I,HR+/HER2-,≥26,Yes,Negative,"CDK4/6, Letrozole",Recurrent,Category 1,"PALOMA/MONALEESA/MONARCH, BIG 1-98",급여,"125mg/1일, 2.5mg 1일 1회","-, 2.5mg","6,000원, 800원"
Stage III,HR-/HER2+,-,Yes,Negative,Ado-trastuzumab emtansine (T-DM1),Adjuvant,Category 1,EMILIA / KATHERINE,급여,3.6mg/kg (3주 간격),216mg,"7,560,000원"
Stage I,HR+/HER2+,-,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage III,HR+/HER2+,-,No,Positive,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 2B,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage II,HER2-low,-,Yes,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 1,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage III,TNBC,-,No,Positive,Pembrolizumab,Adjuvant,Category 2A,KEYNOTE-522 / 355,선별급여(복합요법),200mg/3주,-,"8,000원"
Stage I,HR-/HER2+,-,No,Positive,"Paclitaxel, Trastuzumab",Adjuvant,Category 1,"KEYNOTE-522 (context), H0648g/HERceptin pivotal",급여,"80-175mg/m², 8mg/kg 초기 후 6mg/kg","208.2mg, 480.0mg","14,960원, 7,000원"
Stage III,HR-/HER2+,-,Yes,Positive,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 2A,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage I,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,Recurrent,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
